SegmentPair,OverlapRatio,NumCorrespondences
"(0, 1) with (3, 8)",1.0,2
"(0, 1) with (3, 3)",1.0,2
"(5, 2) with (6, 5)",1.0,2
"(7, 4) with (8, 7)",1.0,2
"(2, 6) with (4, 1)",0.8697007481296758,6975
"(2, 6) with (4, 2)",0.8659600997506235,6945
"(2, 7) with (5, 1)",0.8606855157163166,5449
"(0, 9) with (6, 1)",0.8330962541488858,8785
"(0, 7) with (6, 1)",0.8289680460974332,9495
"(7, 5) with (8, 7)",0.8,4
"(1, 4) with (3, 3)",0.8,4
"(1, 4) with (3, 8)",0.8,4
"(4, 5) with (7, 6)",0.75,3
"(0, 5) with (6, 5)",0.7283079799439109,8570
"(2, 6) with (6, 1)",0.7038653366583542,5645
"(4, 7) with (6, 5)",0.6909294512877939,12340
"(1, 4) with (7, 7)",0.6,3
"(4, 6) with (6, 3)",0.5975086018534796,23791
"(4, 9) with (6, 5)",0.584643605870021,4462
"(1, 7) with (8, 2)",0.5836584806059215,12715
"(5, 5) with (8, 5)",0.5829351241982005,13541
"(1, 2) with (8, 2)",0.580835022052688,38981
"(1, 8) with (8, 6)",0.5693587195313318,10885
"(0, 6) with (6, 3)",0.5665041782729805,6508
"(0, 9) with (6, 6)",0.5560929350403034,5864
"(4, 2) with (6, 1)",0.5519289043497166,40617
"(0, 2) with (6, 5)",0.5413156189241737,13364
"(2, 9) with (4, 4)",0.5208058124174373,3154
"(2, 9) with (4, 6)",0.5194848084544254,3146
"(4, 9) with (6, 7)",0.5106132075471698,3897
"(0, 7) with (6, 6)",0.5073336825563122,5811
"(0, 5) with (4, 7)",0.5029319282739866,5918
"(2, 9) with (4, 1)",0.5016512549537648,3038
"(0, 1) with (1, 4)",0.5,1
"(5, 2) with (6, 8)",0.5,1
"(5, 2) with (7, 6)",0.5,1
"(5, 2) with (7, 8)",0.5,1
"(7, 4) with (8, 6)",0.5,1
"(7, 4) with (9, 5)",0.5,1
"(7, 4) with (9, 8)",0.5,1
"(0, 1) with (8, 8)",0.5,1
"(0, 1) with (8, 2)",0.5,1
"(0, 1) with (7, 7)",0.5,1
"(0, 1) with (6, 1)",0.5,1
"(4, 5) with (7, 8)",0.5,2
"(1, 8) with (8, 7)",0.49926770582696933,9545
"(8, 9) with (9, 1)",0.493505243914173,5129
"(8, 9) with (9, 4)",0.4918695275666314,5112
"(0, 3) with (5, 1)",0.49096661393722424,11794
"(0, 9) with (4, 2)",0.4824087245139877,5087
"(0, 9) with (4, 1)",0.4824087245139877,5087
"(1, 2) with (9, 4)",0.47991417332220765,32208
"(1, 9) with (8, 8)",0.47817327065144394,4272
"(1, 2) with (9, 1)",0.47638276314221006,31971
"(0, 6) with (4, 4)",0.4754526462395543,5462
"(0, 6) with (4, 6)",0.475191504178273,5459
"(4, 4) with (6, 3)",0.47507480381640604,25245
"(0, 7) with (4, 2)",0.47415749956347125,5431
"(0, 7) with (4, 1)",0.47415749956347125,5431
"(2, 9) with (6, 3)",0.4618560105680317,2797
"(1, 7) with (9, 4)",0.46118889143906355,10047
"(0, 6) with (4, 1)",0.45795612813370473,5261
"(1, 7) with (9, 1)",0.4570117053018132,9956
"(4, 7) with (6, 8)",0.4555431131019037,8136
"(1, 7) with (9, 7)",0.45467064493917836,9905
"(0, 5) with (6, 8)",0.44735276621058895,5264
"(2, 8) with (6, 5)",0.4276401564537158,2624
"(4, 9) with (9, 9)",0.4186320754716981,3195
"(7, 5) with (8, 6)",0.4,2
"(2, 8) with (4, 7)",0.3838005215123859,2355
"(0, 8) with (7, 7)",0.3794451684974865,4076
"(0, 6) with (5, 5)",0.3774373259052925,4336
"(5, 5) with (7, 3)",0.375995522837832,8734
"(5, 5) with (7, 2)",0.3759094235653709,8732
"(0, 6) with (5, 1)",0.37334610027855153,4289
"(4, 4) with (9, 2)",0.3731910649428856,19831
"(0, 3) with (6, 3)",0.3725335109482974,8949
"(4, 2) with (9, 1)",0.36522129064695413,26877
"(8, 2) with (9, 4)",0.3632059034539305,17719
"(2, 6) with (9, 1)",0.3622194513715711,2905
"(8, 2) with (9, 1)",0.36088961771036177,17606
"(2, 6) with (9, 2)",0.35399002493765586,2839
"(4, 1) with (6, 1)",0.353035866557611,40573
"(4, 4) with (9, 1)",0.3398445586104368,18059
"(4, 1) with (9, 1)",0.33245740737518054,38208
"(2, 8) with (6, 8)",0.33148631029986964,2034
"(5, 9) with (8, 2)",0.3207420105301824,5239
"(4, 6) with (9, 2)",0.31710073586658966,12626
"(1, 3) with (9, 1)",0.3135690540948927,20752
"(1, 3) with (9, 2)",0.30160169235418555,19960
"(4, 6) with (9, 6)",0.30102719943742623,11986
"(4, 7) with (9, 9)",0.29647256438969766,5295
"(5, 6) with (8, 2)",0.2952182028264154,6643
"(0, 3) with (4, 4)",0.29497960203147117,7086
"(0, 2) with (7, 6)",0.28864225534672716,7126
"(0, 2) with (6, 7)",0.2871840570317563,7090
"(1, 3) with (4, 1)",0.2844061650045331,18822
"(0, 3) with (4, 6)",0.2820331362917326,6775
"(1, 8) with (9, 9)",0.2818286431635108,5388
"(0, 3) with (4, 1)",0.2803679960036633,6735
"(4, 1) with (9, 2)",0.2791796460330996,32085
"(4, 6) with (9, 1)",0.2733254639977899,10883
"(2, 5) with (6, 5)",0.2652009257311172,2521
"(2, 5) with (6, 7)",0.26488533557752997,2518
"(2, 9) with (9, 2)",0.26007265521796563,1575
"(2, 9) with (9, 6)",0.2597424042272127,1573
"(5, 5) with (9, 2)",0.2590296611993629,6017
"(4, 2) with (9, 2)",0.2579935046405131,18986
"(5, 5) with (9, 6)",0.25614533557191443,5950
"(2, 5) with (8, 7)",0.2538396802019777,2413
"(5, 5) with (9, 1)",0.25382065521546343,5896
"(3, 8) with (8, 8)",0.2510658455708195,2120
"(6, 2) with (8, 4)",0.25,1
"(4, 5) with (8, 4)",0.25,1
"(6, 2) with (8, 3)",0.25,1
"(4, 5) with (8, 3)",0.25,1
"(4, 5) with (6, 2)",0.25,1
